;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
166;ClB(Cl)Cl;1057.82;44.83;0.824;451.89;38.73;0.15
167;OC(CNc1ccccc1)=O;1057.82;44.83;0.824;843.04;38.74;0.88
168;CC(C)=NNc1ccccc1;790.97;29.6;0.514;763.94;29.00;0.45
169;O=C(N)NNc1ccccc1;847.56;50.09;0.915;920.15;41.71;0.81
170;OC(C)(C)CCc1ccccc1;710.84;27.98;0.829;711.42;28.27;0.73
171;CCCCC(CC)COC(C)=O;656.22;21.36;0.65;637.06;21.91;0.67
172;CCCCC(CC)COC(=O)C=C;676.41;20.76;0.636;651.98;20.73;0.69
173;CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O;829.36;11.8;1.167;796.48;11.65;0.97
174;COC(CCc1ccccc1)=O;701.59;28.88;0.524;732.23;28.88;0.60
175;CC(C)C(OCc1ccccc1)=O;719.37;26.15;0.554;719.35;27.62;0.58
176;C(Cc1ccccc1)c1ccccc1;780;26.5;0.481;783.49;26.82;0.45
177;c(cc1)ccc1C=Cc1ccccc1;802;27.4;0.485;790.84;27.40;0.48
178;N(Cc1ccccc1)c1ccccc1;808.9;32.54;0.584;846.19;27.66;0.59
179;c(cc1)ccc1N=Nc1ccccc1;947.73;25.77;0.508;810.67;29.03;0.46
180;CCCC(OCc1ccccc1)=O;727.82;26.25;0.567;712.94;27.95;0.56
181;CC(C)CC(OCc1ccccc1)=O;737.23;24.1;0.595;706.58;25.81;0.59
182;CC(OCCc1ccccc1)=O;700.9;28.5;0.591;721.74;28.72;0.70
183;CC(C)C(OCCc1ccccc1)=O;721.11;23.84;0.604;704.55;24.86;0.71
184;N(Cc1ccccc1)Cc1ccccc1;808.58;24.82;0.634;846.89;28.52;0.66
185;O(Cc1ccccc1)Cc1ccccc1;781.29;25.75;0.552;776.69;25.63;0.59
186;CC(C)C(OCCOc1ccccc1)=O;741.56;23.76;0.682;716.24;26.36;0.66
187;CCCc1ccccc1;643.32;32.14;0.343;638.23;32.19;0.35
188;CNCc1ccccc1;681.22;37.12;0.495;697.67;39.14;0.47
189;CCNc1ccccc1;711.17;39.84;0.428;698.91;35.49;0.41
190;O=CNc1ccccc1;787;41.1;0.557;780.53;41.08;0.53
191;O=C=Nc1ccccc1;651.82;40.44;0.417;657.71;40.43;0.43
192;CCOc1ccccc1;653.93;35.98;0.396;646.68;33.70;0.42
193;OCCc1ccccn1;700.2;41.44;0.822;710.22;45.07;0.78
194;OCCN1CCNCC1;751.37;42.55;0.665;780.26;49.36;0.42
