;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
2621;CC(OC(Cl)=O)=C;598.99;40.72;0.359;576.82;45.31;0.58
2622;CCOC(C(O)C(O)C(OCC)=O)=O;754.43;29.43;1.636;771.66;28.67;0.87
2623;CCOC(=O)c(cc1)ccc1Br;757.36;31.03;0.619;732.54;36.36;0.44
2624;Cn1cnc2c1c(=O)n(C)c(=O)n2C;704.26;33.1;0.876;718.80;41.68;0.49
2625;CN(C)C(=C1C)C(=O)N(c2ccccc2)N1C;839.2;25.07;0.81;761.96;32.59;0.49
2626;OC1CCC2C3CCC4=CC(CCC4(C)C3CCC21C)=O;879.14;19.52;0.829;825.91;17.86;0.86
2627;c(cc1)ccc1C=C(c1ccccc1)c1ccccc1;895.57;20.04;0.708;904.17;20.97;0.61
2628;OC(CCCCC1C2NC(=O)NC2CS1)=O;933.42;31.12;1.19;990.44;33.84;0.99
2629;Clc1cc(Cl)c(Cl)c(Cl)c1O;816.78;39.94;0.667;812.54;39.62;0.61
2630;Clc1cc(NCNS2(=O)=O)c2cc1S(=O)(=O)N;700.71;24.27;0.843;963.79;36.29;0.76
2631;Brc1cc2ccccc2cc1;801.16;39.25;0.356;795.54;35.56;0.36
2632;Nc1cc2cccnc2cc1;840.89;48.22;0.574;835.05;37.71;0.48
2633;Oc1cc2cccnc2cc1;835.54;57.18;0.634;819.12;43.52;0.56
2634;Nc1cc2ccccc2nc1;831.84;44.87;0.574;833.29;37.58;0.45
2635;Oc1cc2ncccc2cc1;835.54;57.18;0.634;823.69;43.70;0.57
2636;Nc1nc2ccccc2cc1;831.84;44.87;0.574;842.87;38.14;0.47
2637;Oc1cc(ccc1)c1ccccc1;868.87;48.72;0.583;828.55;33.84;0.55
2638;OC(C#N)C=C;656.07;46.19;0.79;644.46;45.10;0.80
2639;Nc(ccc1n2)cc1cc1ccccc21;941.31;37.44;0.742;932.61;29.45;0.55
2640;Cc(ccc1cc2C)cc1cc2;776.79;31.85;0.428;776.49;31.61;0.42
2641;Oc(ccc1cc2O)cc1cc2;856.11;59.08;0.664;830.55;47.86;0.57
2642;c(nc1)ccc1c1cccnc1;858.02;45.03;0.472;804.21;44.49;0.45
2643;n(cc1)ccc1c1ccccn1;849.24;47.98;0.472;796.16;43.37;0.45
2644;c(nc1)ccc1c1ccccn1;848.76;45.03;0.472;813.97;42.84;0.43
2645;CC(OC(OC(C)=O)c1ccccc1)=O;753.17;26.13;0.654;704.68;23.06;0.70
2646;NCC(C)(C)C;598.03;37.61;0.345;544.76;38.56;0.38
2647;O=C(N)c1sccc1;840.3;59.73;0.536;834.07;53.41;0.56
2648;CCNCC(F)(F)F;483.7;28.61;0.386;527.26;31.08;0.36
2649;Cc(ccc1cc2)cc1cc2C;776.79;31.85;0.428;775.67;31.45;0.44
2650;Oc(ccc1cc2)cc1cc2O;856.11;59.08;0.664;900.23;45.87;0.67
2651;OCC(=O)c1ccccc1;755.18;42.96;0.806;753.52;38.30;0.73
2652;CCOC(=O)c(ccc1)cc1N;771.32;31.94;0.673;792.89;31.51;0.61
2653;CC(C)CC(=O)c1ccccc1;744.62;27.65;0.524;749.23;28.94;0.47
2654;Sc1[nH]c2ccccc2n1;563.15;26.3;0.338;835.77;39.95;0.45
2655;CCC(C)C(C)CC;563.15;26.3;0.338;568.60;26.95;0.34
2656;OCC(O)C(O)C=O;760.56;67.57;1.457;828.84;57.49;1.05
2657;CC1CCCCC1C;592.84;30.37;0.243;598.53;29.54;0.24
2658;Cc1cnccc1C;656.76;40.89;0.337;675.81;43.03;0.37
2659;OC1CCCCC1C;661.5;36.05;0.614;615.45;37.92;0.68
2660;CC1CCCCC1=O;723.99;38.52;0.329;657.34;37.84;0.31
2661;Cc1ncccc1C;656.76;40.89;0.337;646.54;41.79;0.37
2662;Clc(ccc1Cl)cc1O;761.68;47.98;0.538;766.55;45.22;0.47
2663;CSCCC(=O)C(O)=O;775.64;40.56;0.863;738.27;32.99;0.80
2664;CCCCCC(=O)N(C)C;720.39;25.75;0.587;692.18;25.83;0.41
2665;CC12CCCC(C)(C2CC=C(CC2(C)C=C)C1CC2)C(O)=O;862.13;16.54;0.806;811.72;16.53;0.81
2666;CCOC(=O)C(C)=CC;606.31;28.46;0.436;595.74;29.51;0.37
2667;CCC(O)CC;560.8;38.48;0.646;559.50;37.73;0.52
2668;OCC(O)CC;660.38;52.61;0.974;681.14;51.19;0.63
2669;Cc1ccc(N=C=O)cc1N=C=O;723.33;30.47;0.712;736.34;29.14;0.65
2670;CCCC(C)C(C)C;562.2;26.21;0.344;561.48;26.07;0.35
2671;S=C1NCCO1;629.53;70.69;0.429;699.01;52.61;0.43
2672;FC(F)(F)c1c(F)c(F)c(C(C#N)c(c(F)c2F)c(F)c(F)c2C(F)(F)F)c(F)c1F;816.23;13.48;1.069;714.96;25.08;0.57
2673;CC(C)(C)OC(=O)C(C)=C;614.45;26.8;0.398;588.48;27.93;0.42
2674;CCCCCC(=O)C(C)=O;674.33;28;0.648;678.20;27.44;0.48
2675;CC(C)(C)c(ccc1)cc1O;737.99;33.2;0.515;734.43;34.51;0.57
2676;CC(C)(C)c1nc(C(C)(C)C)ccc1;712.03;21.15;0.434;701.39;27.48;0.35
2677;CC(=O)c(ccc1)cc1C;722.6;33.58;0.532;714.03;35.81;0.42
2678;OC(=O)c(ccc1)cc1Br;800.96;41.78;0.713;782.08;44.24;0.58
2679;CCC(C)(C)C(Cl)=O;622.09;32.69;0.386;598.46;29.83;0.35
2680;CCOCOC1CCCCCCCCCCC1;773.75;18.75;0.745;726.27;18.03;0.87
2681;Oc1cc(cc(c1)N(=O)=O)N(=O)=O;847.49;43.76;1.009;844.82;38.93;0.95
2682;COc1cc(C(C)=O)ccc1;741.6;32.78;0.596;750.02;33.30;0.53
2683;COc1cc(C(O)=O)ccc1;778.06;36.62;0.783;807.64;35.52;0.74
2684;CC1=CCC(CC1)=C(C)C;652.53;24.37;0.336;662.08;27.98;0.38
2685;OC(=O)c(cc1)ccc1Br;802.04;42.36;0.713;764.70;42.48;0.56
2686;CN(C)c1ccc(Br)cc1;753.31;35.17;0.415;646.64;34.87;0.37
2687;Brc1ccc(cc1)N(=O)=O;776.72;41.83;0.575;741.93;39.59;0.40
2688;OC1(C)CCC(CC1)=C(C)C;694.11;24.46;0.664;680.96;31.45;0.66
2689;OC1(C)CC=C(CC1)C(C)C;668.39;29.27;0.728;672.19;30.11;0.70
2690;OC(=O)c1ccc(C(C)=O)cc1;821.46;35.13;0.916;804.57;31.50;0.83
2691;OCc1ccncc1;692.71;49.49;0.769;698.08;51.75;0.71
2692;O=Nc1ccccc1;640.08;45.59;0.406;704.35;50.36;0.46
2693;CCc(ccc1)cc1N;724.36;36.22;0.49;705.71;35.85;0.42
2694;OCc(ccc1)cc1C;676.38;38.13;0.713;684.68;39.22;0.69
2695;Clc1cc(C=O)ccc1;727.54;38.45;0.454;696.34;38.79;0.40
2696;Clc1cc(ccc1)NC(=O)N(C)C;811.66;33.45;0.759;820.31;31.64;0.63
2697;CC1(C)C(CCC21CS(O)(=O)=O)CC2=O;888.02;31.07;0.675;777.67;34.79;0.56
2698;CC(C)(C)c(ccc1C(C)(C)C)cc1O;781.51;22.84;0.641;755.99;25.34;0.58
2699;COCC(C)=O;569.62;41.52;0.383;584.03;42.09;0.38
2700;OC(C)COC(C)COC(C)(C)C;667.68;22.26;0.944;689.96;22.83;0.93
2701;CC(OCC(C)OC(C)(C)C)COC(C)(C)C;692.02;15.83;0.748;729.32;15.26;0.64
2702;Clc1cc(ccc1)NC(C)=O;784.08;37.59;0.64;829.64;34.32;0.57
2703;CC(=O)NCc1ccccc1;754.91;35.64;0.628;807.05;31.81;0.60
2704;CCCCOCc1ccccc1;694.76;25.45;0.518;688.30;24.88;0.50
2705;CNCCc1ccccc1;680.31;32.89;0.538;727.91;32.00;0.55
2706;C=CCNc1ccccc1;726.7;36.91;0.458;709.94;33.43;0.51
2707;CCc(cc1)ccc1N;725.87;36.66;0.49;714.89;36.16;0.42
2708;CCCCn1cccc1;660.85;32.36;0.339;631.11;36.44;0.35
2709;CCCC(C)CC;528.86;28.08;0.317;535.34;28.25;0.32
2710;OCCC(C)CC;598.64;34.06;0.677;590.12;34.07;0.70
2711;CCCC(CC)=O;572.33;32.85;0.394;583.38;33.37;0.38
2712;CCC(C)OC=O;555.25;36.08;0.368;544.43;35.87;0.33
2713;CCC(C)CC(C)C;550.52;25.64;0.345;554.43;25.65;0.34
2714;CCCC(C)CCC;558.21;25.51;0.36;560.08;25.21;0.37
2715;CCCC(O)CCC;609.76;30.36;0.73;613.69;30.15;0.49
2716;CCOP(Cl)OCC;615.44;31.67;0.44;605.55;45.48;0.50
2717;CC(C)COC(CC(C)C)=O;632.21;23.42;0.531;628.14;24.03;0.52
2718;CCCCC(O)CCC;630.83;27.4;0.771;635.92;27.27;0.50
2719;CCCCC(CCC)=O;619.13;26.64;0.481;624.14;26.76;0.42
2720;CCCCCCCC(OCCCC)=O;694.17;18.59;0.688;674.39;18.43;0.73
2721;CCCCC(C)CC;558.21;25.51;0.36;563.13;25.65;0.37
2722;CCCCC(O)CC;609.76;30.36;0.73;605.95;30.49;0.55
2723;CC1CCC(CC1)=O;723.99;38.52;0.329;658.38;36.18;0.36
2724;Cc1ccc(C)cn1;656.76;40.89;0.337;638.73;37.65;0.32
2725;CCCCCC(O)CC;630.83;27.4;0.771;627.65;27.96;0.58
2726;CC(C)CCCC(C)CCCC(C)CCCC1(C)Oc(c(C)c2C)c(CC1)c(C)c2O;926.5;11.23;0.854;929.06;10.80;1.04
2727;CCOc1cc(ccc1C(OC)=O)NC(C)=O;905.56;24.88;1.021;828.46;22.76;0.80
2728;CCN(CC)C(c1cccnc1)=O;794.96;31.39;0.682;775.63;29.01;0.59
2729;O=C1C=Cc2ccccc2N1;847.91;37.65;0.532;869.98;42.21;0.51
2730;Nc1ccc(cc1)S(=O)(=O)Nc1nc2ccccc2nc1;684.51;18.63;0.778;975.45;33.95;0.89
2731;CCN(CC)CCOC(=O)c(cc1)ccc1N;821;19.89;0.931;839.88;26.69;0.95
2732;O=C(Cc1cc2)Nc1cc2;840.49;40.92;0.516;881.49;43.43;0.59
2733;O=C1Nc2ccccc2O1;826.71;52.39;0.563;822.26;47.67;0.50
2734;Oc(ccc1Cl)cc1C;741.58;45.45;0.526;729.08;44.12;0.52
2735;CSCCC(N)C(O)=O;1043.09;38.88;0.881;793.67;34.67;0.93
2736;OCC(S)CS;717.5;53.72;0.743;738.41;48.04;0.80
2737;CC(=O)Nc1sc(nn1)S(=O)(=O)N;715.67;35.08;0.879;853.24;45.52;0.75
2738;OC(=O)c1cccnc1;772.67;45.64;0.683;783.99;46.64;0.69
2739;O=NN1CCOCC1;728.16;58.09;0.672;792.40;42.34;0.44
2740;C(CN1)N=C1Cc1ccccc1;839.25;39.71;0.535;822.85;29.86;0.62
2741;CCCCOC(CC)=O;601.18;27.85;0.474;594.21;27.98;0.46
2742;CCCCOC(CCl)=O;638.3;30.21;0.51;634.38;28.44;0.50
2743;BrCC#N;661.67;54.17;0.395;596.29;49.59;0.28
2744;CC=CC;434.28;40.98;0.2;433.37;41.52;0.21
2745;CC=C=C;455.96;43.58;0.251;452.61;44.04;0.17
2746;CC=CCl;505.07;45.74;0.192;500.09;49.37;0.19
2747;IC=CI;695.36;72.38;0.161;673.00;40.33;0.08
2748;CCCC(C)(C)C;521.09;28.21;0.283;520.33;27.50;0.27
2749;CCCC(O)(C)C;567.65;33.4;0.7;559.87;32.85;0.58
2750;CC(C)(C)CC(C)=O;600.28;29.76;0.391;607.60;27.94;0.39
2751;CCC(C)(C)OC(=O)N;801.08;35.05;0.525;683.62;33.55;0.56
2752;CC1(C)CCCCC1;592.94;30.64;0.225;590.33;29.60;0.23
2753;OC1(C)CCCCC1;613;40;0.596;637.32;37.90;0.58
2754;CCCCC(C)(C)C;551.38;25.62;0.327;550.01;25.18;0.34
2755;CC(C)CC=O;558.32;37.65;0.433;543.04;38.31;0.38
2756;OCCC(C)=O;623.98;47.18;0.717;667.82;49.39;0.76
2757;BrCCC(O)=O;712.37;53.86;0.607;688.69;53.32;0.56
2758;CC#CC(O)=O;703.37;51.4;0.482;624.11;47.34;0.62
2759;CCCCCCCCCCCCCCN1CCCC1=O;862.92;15.06;0.349;820.70;14.26;1.07
2760;O=C1C(CN2Cc3ccccc3)CN(CC1C2)Cc1ccccc1;936.08;19.71;0.511;910.40;14.59;0.76
2761;C1C2CN(CC1CN(C2)Cc1ccccc1)Cc1ccccc1;887.98;18.74;0.518;879.95;17.33;0.69
2762;CC(C)(C)n(c(=O)[nH]c1C)c(=O)c1Cl;752.16;51.17;0.407;697.03;31.89;0.50
2763;SCc1cnccn1;752.16;51.17;0.407;728.09;48.58;0.36
2764;CCCCCCCCCCCCCCCCCCCCCC(OCC)=O;829.4;11.05;1.159;807.46;8.27;1.02
2765;CC(=O)NC(=O)N;709.93;58.27;0.779;827.80;49.30;0.62
2766;CC(=O)NC(S)=N;815.11;61.38;0.625;847.69;49.27;0.64
2767;CC1C=CC(O1)=O;712.15;50.9;0.347;734.11;51.62;0.38
2768;CC(OC1=O)=CC1;718;52.35;0.325;705.45;52.00;0.40
2769;Cc1cc(Br)ccc1;692.11;40.21;0.304;728.50;41.30;0.30
2770;Nc1cc(Br)ccc1;759.55;47.41;0.44;763.28;49.24;0.40
2771;Oc1cc(Br)ccc1;751.91;56.11;0.424;746.53;50.99;0.43
2772;CC1CC(CCC1)=O;723.99;38.52;0.329;656.56;36.50;0.30
2773;Oc1cc(N)ccc1;767.44;59.75;0.577;812.32;60.80;0.72
2774;O=c1[nH]c(cc[nH]1)=S;724.59;35.78;0.581;868.15;57.81;0.56
2775;COc1cc(C=O)ccc1;724.59;35.78;0.581;728.78;34.92;0.52
2776;CCC(C)OC(CC)=O;595.64;28.1;0.454;575.21;28.50;0.48
2777;Oc1cc(Cl)cc(Cl)c1;755.31;45.97;0.538;771.86;47.47;0.57
2778;CC1CC=CCC1;574.92;37.03;0.209;572.52;36.27;0.23
2779;CC1C=CCCC1;574.92;37.03;0.209;568.57;36.36;0.23
2780;CC1=CCCCC1;585.4;37.87;0.266;588.05;36.54;0.25
2781;Ic1ccccc1;721.15;45.19;0.247;709.74;45.20;0.24
2782;Nc1ccncn1;739.73;65.67;0.467;762.92;59.04;0.51
2783;CCCCOC(CC(C)=O)=O;686.08;26.62;0.684;663.97;25.73;0.70
2784;CCCCOC(CCCC)=O;642.95;23.21;0.561;628.40;23.27;0.59
2785;CCCCC(C)C;527.75;27.98;0.322;529.59;27.33;0.33
2786;CCCCC(C)=O;588.09;32.73;0.402;585.58;32.96;0.37
2787;OC(CCC=C)=O;698.72;39.57;0.642;669.97;40.15;0.70
2788;CC(OCC=C)=O;552.51;35.87;0.441;559.46;35.59;0.39
2789;C=CCC=C;476.3;38.39;0.224;481.56;37.31;0.09
2790;CCC=C=C;495.31;38.03;0.294;498.73;38.06;0.16
2791;CC=C=CC;505.54;41.41;0.194;502.23;37.96;0.23
2792;Cc1nccnc1C;683.05;45.71;0.383;666.01;43.75;0.43
2793;ClCC1CC1;564.82;45.3;0.2;574.13;46.68;0.22
2794;CSCCCCC#N;734.45;29.97;0.537;719.98;30.14;0.52
2795;CCNc1nc(NC(C)(C)C)nc(Cl)n1;869.71;32.72;0.939;793.16;30.79;0.58
2796;CCCCCC(CO)C(C)=O;702.56;26.54;0.912;716.84;25.04;0.85
2797;CC(C)CCC(C)C;549.51;25.56;0.35;549.34;24.95;0.36
2798;CC(C)CNC(=O)N;690.29;41.25;0.693;795.09;36.30;0.63
2799;CC(OCC(C)=O)=O;620.31;36.35;0.562;639.44;36.07;0.55
2800;CCCCCC(C)C;557.23;25.43;0.365;558.89;25.10;0.38
2801;CCCCNC(=O)N;686.34;40.83;0.73;802.29;37.96;0.72
2802;CCCCOC(Cl)=O;619.61;33.9;0.46;572.51;31.13;0.57
2803;CCCCOC(=O)N;801.1;38.96;0.58;715.40;37.32;0.61
2804;CCCCC=C;508.2;32.33;0.28;504.46;32.05;0.29
2805;C=CCCC=C;512.58;33.91;0.266;506.94;33.53;0.22
2806;CCCC=C=C;528.93;33.63;0.337;525.36;33.25;0.27
2807;CC=CCC=C;518.68;33.27;0.266;512.92;33.61;0.28
2808;FCCCCC;509.79;33.23;0.335;477.70;28.86;0.27
2809;N#CCCC=C;662.79;35;0.394;615.00;37.37;0.42
2810;CCOCCBr;561.55;40.1;0.332;618.06;37.56;0.35
2811;C1C=CC=CC1;555.5;46.87;0.175;562.62;47.06;0.22
2812;CC(C)CSCC(C)C;639.97;25.27;0.434;610.38;22.07;0.46
2813;CCCCCC=C;540.11;29.02;0.323;536.71;29.08;0.34
2814;FCCCCCN;633.65;35.4;0.485;588.50;29.38;0.57
2815;CCCCOC=O;561.83;35.68;0.389;556.57;35.75;0.40
2816;C=CCSCC=C;615.66;33.42;0.349;640.82;33.76;0.12
2817;O1CCCCCC1;610.75;41.45;0.306;598.82;44.31;0.31
2818;CCCCCCCCCCCC(C)=O;715.29;18.02;0.702;719.64;18.51;0.74
2819;CCCCCCCCCCCCCCCCCC;742.7;13.57;0.806;747.03;12.64;0.81
2820;CCCCCCCCCCCCCCCCCCCCCCCCCCC;833.85;10.24;1.154;825.44;8.83;1.20
2821;FC;225.2;57.26;0.166;318.91;60.75;0.18
2822;BrC=C;473;71.8;0.153;486.98;56.17;0.05
2823;ClC#C;477.48;64.32;0.119;423.65;54.89;0.20
2824;IC=C;570.86;65.06;0.141;584.52;42.66;0.03
2825;FCCl;454.99;55.26;0.243;419.53;55.19;0.22
2826;ClCI;623.63;69.19;0.185;619.20;63.79;0.19
2827;ONC;527.11;76.06;0.675;637.83;86.38;0.77
2828;CB(C)C;546.57;55.72;0.259;513.47;37.18;-0.01
2829;CC(Cl)Br;546.57;55.72;0.259;547.89;54.70;0.20
2830;FC(Cl)Br;514.68;57.48;0.268;480.30;53.88;0.20
2831;CCCCN(CC#C)C(SCC)=O;754.28;26.24;0.687;745.57;23.68;0.55
2832;C(CCC1(C2(CCCC2)c2ccccc2)c2ccccc2)C1;872.32;18.62;0.645;964.71;21.19;0.69
2833;C(CC1)CCC1(C1(CCCCC1)c1ccccc1)c1ccccc1;891.51;17.02;0.618;953.61;18.62;0.67
2834;C(CCC1)CCCC1(C1(CCCCCCC1)c1ccccc1)c1ccccc1;925.69;14.6;0.802;937.62;15.89;0.79
2835;SC(S)=S;672.67;73.82;0.296;696.05;59.87;0.14
2836;CP(C)C;470.99;37.96;0.212;542.49;43.58;0.24
2837;CC1CC1;432.56;47.2;0.155;439.06;45.59;0.16
2838;CC(C)(Cl)Cl;535.07;41.04;0.188;554.07;42.18;0.16
2839;CCC(C)(C)Cl;539.08;34.4;0.225;544.72;35.18;0.28
2840;ClCC(C)(C)Cl;601.22;37.96;0.232;588.29;37.00;0.24
2841;CCC(N)(C)C;519.1;33.92;0.326;525.63;36.37;0.32
2842;CCS(C)(=O)=O;715.74;45.54;0.601;732.86;45.65;0.51
2843;CCS(Cl)(=O)=O;739.06;51.45;0.637;700.20;45.47;0.41
2844;CCS(O)(=O)=O;749.46;60.87;0.891;714.79;53.25;0.59
2845;CC(C)(C)C(C)=C;519.54;29.57;0.273;530.21;31.33;0.25
2846;CC(C)C(O)(C)C;578.01;36.34;0.677;571.95;37.37;0.38
2847;OC(C)(C)C(O)=O;728.58;49.3;1.018;663.83;50.51;0.98
2848;ClC(Cl)(Cl)C(=O)N;814.93;52.13;0.484;694.60;47.51;0.55
2849;CC(C)(C)N(=O)=O;661.08;40.52;0.352;616.81;38.56;0.42
2850;CC(Cl)(Cl)N(=O)=O;710.91;47.37;0.371;648.62;50.57;0.47
2851;CC(C)(C)C(C)(C)C;569.99;29.33;0.248;568.18;28.68;0.25
2852;OC(C)(C)C(C)(C)C;608.37;34.94;0.666;595.23;35.84;0.35
2853;ClC(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl;777.32;33.84;0.337;758.93;26.91;0.27
2854;FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;490.44;20.42;0.453;421.02;16.44;0.36
2855;Oc1ccc(cc1)C(=O)NO;882.31;64.83;1.399;869.23;49.94;1.16
2856;CC(C)SSSC(C)C;786.93;33.53;0.438;701.25;32.82;0.42
2857;CC(C)(C)c1ccccn1;669.85;30.4;0.338;672.22;36.12;0.29
2858;CC1(C)C(CC1CC1O)C1=C;717.4;28.47;0.557;711.14;29.86;0.63
2859;CCC(C)(C)C(O)=O;648.13;31.9;0.665;652.73;33.35;0.57
2860;CCC(N)(C)C(O)=O;1026.68;37.63;0.718;746.27;43.11;0.76
2861;CCC(O)(C)C(C)C;586.09;30.06;0.727;594.63;32.84;0.43
2862;CCC(Cl)(Cl)N(=O)=O;729.41;41.68;0.42;635.32;33.47;0.50
2863;CC(C)(C(O)=O)C(O)=O;820.14;42.39;1.024;759.65;43.53;0.82
2864;CCCCCCCC(=O)Oc(cc1)ccc1C;743.82;17.84;0.754;762.57;19.30;0.77
2865;O(OC(c1ccccc1)(c1ccccc1)c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1;1043.84;12;0.984;900.80;19.07;0.95
2866;CCC(O)(CC)C(C)C;609.32;27.16;0.769;615.83;28.39;0.52
2867;OCC(CO)(CC)N(=O)=O;838.44;45.47;1.469;735.64;33.14;1.24
2868;OCC(C)(C)C=O;623.75;39.95;0.787;635.12;38.15;0.76
2869;ClCC(O)(C)CCl;668.24;40.79;0.772;678.62;38.54;0.80
2870;CCS(CC)(=O)=O;729.28;39.57;0.618;734.05;41.03;0.56
2871;CC(C(C)C(O)=O)C(O)=O;823.65;37.76;1.077;776.61;39.29;0.86
2872;CCC(O)(CC)CC;592.71;29.89;0.742;605.91;31.46;0.47
2873;CCCC(O)(CC)CC;615.31;27.01;0.783;625.14;28.46;0.57
2874;CCCC(O)(CC)CCC;635.9;24.62;0.823;646.84;25.84;0.60
2875;CCCC(O)(C)CC;592.71;29.89;0.742;591.47;30.16;0.55
2876;CN(C)c1c2C(=O)NC(c2c(N(C)C)cc1)=O;947.7;29.72;0.98;855.15;28.34;0.52
2877;CNc1cccc2c1C(=O)NC2=O;921.22;48.85;0.875;875.86;38.83;0.78
2878;CCCC(O)(C)CCC;615.31;27.01;0.783;616.43;25.72;0.62
2879;CCOP(O)(OCC)=O;690.13;36.28;0.958;681.32;46.69;0.45
2880;CCCS(CCC)(=O)=O;754.2;31.07;0.641;745.00;28.98;0.53
2881;CCCCS(CCCC)(=O)=O;776.7;25.44;0.653;767.38;25.84;0.69
2882;ClCC1(C)OC1;615.03;44.88;0.299;621.07;42.03;0.30
2883;CC(C)C#C;476.17;41.43;0.287;459.10;41.07;0.27
2884;CC(C)=C=C;490;38.3;0.18;489.90;37.92;0.19
2885;BrCC(C)=O;589.68;52.77;0.309;629.48;44.82;0.39
2886;OCC(Cl)Cl;617.52;53.3;0.649;595.97;50.33;0.81
2887;OCC(=O)N;799.02;77.06;0.933;698.10;71.91;0.88
2888;CNC(=O)N;624.8;61.32;0.573;836.46;63.50;0.57
2889;CNC(N)=S;575.3;69.94;0.526;727.25;56.40;0.47
2890;COC(C)C;465.6;39;0.26;465.08;37.41;0.27
2891;COC(=O)N;775.1;64.66;0.428;698.43;58.77;0.43
2892;CCN(C)C;476.31;36.52;0.277;475.63;34.44;0.29
2893;NCN(=O)=O;636.65;64.59;0.485;676.58;62.17;0.54
2894;CON(=O)=O;609.66;57.48;0.381;600.79;54.32;0.36
2895;CC1CCC1;491.41;42.43;0.209;496.86;39.19;0.20
2896;CC(Br)C(O)=O;651.4;50.3;0.613;650.24;51.33;0.64
2897;FC(F)=C(F)Br;528.61;46.17;0.353;406.43;44.80;0.19
2898;NC(C)C(C)C;546.91;36.03;0.36;534.04;38.43;0.37
2899;OC(C)C(C)C;564.74;39.99;0.63;549.85;38.71;0.54
2900;CC(C)C(Cl)Cl;573.56;36.11;0.316;575.66;38.45;0.20
2901;CC(Cl)C(Cl)Cl;610.61;39.99;0.271;614.49;37.22;0.33
2902;CC(Cl)C(O)=O;641.17;45.02;0.557;642.71;47.19;0.67
2903;FC(Cl)=C(F)Cl;586.32;43.61;0.255;458.84;43.83;0.21
2904;CC(Cl)N(=O)=O;632.2;50.17;0.379;607.07;51.10;0.47
2905;CN(C)C(=O)N;601.8;51.91;0.519;785.78;50.60;0.51
2906;CC(C)(C)C(C)=CC;554.18;26.11;0.366;569.55;26.43;0.26
2907;COC(C(C)(C)C)=O;569.41;31.52;0.352;564.45;28.96;0.29
2908;COC(C(Cl)(Cl)Cl)=O;629.85;37.51;0.379;665.90;46.58;0.49
2909;CC(C)CCCC(C)CC=O;662.23;22.75;0.628;637.64;21.68;0.59
2910;CC1(C)COC(C1O)=O;771.05;41.38;0.806;682.71;38.60;0.71
2911;CC(C)(c1ccccc1)c(cc1)ccc1O;833.36;25.78;0.652;833.95;28.60;0.69
2912;Cc1ccc(cc1)S(c(cc1)ccc1C)(=O)=O;724.97;20.75;0.577;827.14;25.19;0.55
2913;Cc1cnc(nc1)NS(c(cc1)ccc1N)(=O)=O;683.12;21.35;0.827;938.29;39.59;0.87
2914;CCc1cc2ccc(CC)cc2cc1;795.16;25.18;0.492;795.28;25.77;0.48
2915;OC(CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)=O;1332.39;22.39;1.857;846.99;32.74;0.91
2916;CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O;811.87;16.12;1.04;741.27;13.17;0.85
2917;Nc1ccc(N=Nc2ccccc2)cc1;1029.51;26.9;0.688;876.82;28.16;0.63
2918;CN(C)c1ccc(N=Nc2ccccc2)cc1;994.13;21.06;0.663;860.40;24.25;0.73
2919;NC(Cc(cc1)ccc1O)C(O)=O;1069.08;41.4;1.199;875.18;39.21;0.98
2920;NCCS;639.75;58.71;0.349;603.31;55.54;0.39
2921;OCCS;614.86;61.31;0.64;644.35;60.68;0.60
2922;CN1CC(=O)NC1=N;806.33;66.54;0.682;913.32;53.24;0.60
2923;CCOCC;458.26;37.64;0.294;466.49;37.16;0.28
2924;[NH3+]CCCCCC([O-])=O;844.77;14.18;1.134;762.68;29.39;0.78
2925;CCCCCC=CCC=CCCCCCCCC(O)=O;844.77;14.18;1.134;774.45;14.32;1.19
2926;CNN;515.54;69.54;0.385;593.48;72.41;0.32
2927;CC(=O)N;761;66;0.405;760.86;65.99;0.42
2928;CN1C=CNC1=S;674.66;59.86;0.482;716.96;52.58;0.42
2929;CC1=CC(=O)N(c2ccccc2)N1C;869.31;30.29;0.38;772.33;30.05;0.47
2930;CCC(Cl)C(C)Cl;603.3;33.38;0.31;607.52;32.98;0.28
2931;CC=C(Cl)C(O)=O;706.24;43.02;0.576;665.51;43.86;0.71
2932;CCC(=O)C(C)=O;617.92;39.61;0.52;616.24;38.34;0.45
2933;CCC(=O)C(O)=O;715.51;46.49;0.71;662.25;44.84;0.69
2934;COC(=O)C(C)=O;601.69;42.3;0.479;574.44;43.69;0.43
2935;CCC(C)N(=O)=O;616.49;38.76;0.418;628.03;35.92;0.39
2936;CCC(Cl)N(=O)=O;651.4;43.17;0.429;626.50;36.06;0.48
2937;CC(C)C(O)C(C)C;597.31;30.73;0.701;585.96;29.31;0.43
2938;C(CC1C2CC3)CC1C3C2;664.25;32.35;0.266;693.89;29.85;0.29
2939;CC(C1CCCC1)=O;635.78;36.39;0.446;650.03;36.88;0.31
2940;CCCCCCCCCCCCCC1CCCC1;760;14.68;0.718;770.89;13.55;0.81
2941;CCC(C(O)=O)C(O)=O;821.12;41.96;1.058;744.37;42.10;0.91
